Primary DBID	Systematic Name	Standard Name	Name	Feature Type	Function Summary	Description	Gene Summary
S000001106	YHR064C	SSZ1		ORF		Hsp70 protein that interacts with Zuo1p (a DnaJ homolog); interacts with Zuo1p to form a ribosome-associated complex that binds the ribosome via the Zuo1p subunit; also involved in pleiotropic drug resistance via sequential activation of PDR1 and PDR5; binds ATP	
S000001107	YHR065C	RRP3	Ribosomal RNA Processing	ORF		"Protein involved in rRNA processing; required for maturation of the 35S primary transcript of pre-rRNA and for cleavage leading to mature 18S rRNA; homologous to eIF-4a, which is a DEAD box RNA-dependent ATPase with helicase activity"	
S000001108	YHR066W	SSF1	Suppressor of ste4 (Four)	ORF	rRNA-binding protein involved in rRNA processing and large ribosomal subunit assembly; localizes to nucleolus and 66S preribosome	"Constituent of 66S pre-ribosomal particles; required for ribosomal large subunit maturation; functionally redundant with Ssf2p; member of the Brix family; SSF1 has a paralog, SSF2, that arose from the whole genome duplication"	
S000001109	YHR067W	HTD2	Hydroxyacyl-Thioester Dehydratase	ORF	Mitochondrial 3-hydroxyacyl-[acyl-carrier-protein] dehydratase with presumed role in fatty acid metabolism	"Mitochondrial 3-hydroxyacyl-thioester dehydratase; involved in fatty acid biosynthesis, required for respiratory growth and for normal mitochondrial morphology"	
S000001110	YHR068W	DYS1	DeoxyhYpusine Synthase	ORF	Deoxyhypusine synthase involved in modification of peptidyl-lysine to peptidyl-hypusine; localizes to cytoplasm in high-throughput studies	"Deoxyhypusine synthase; catalyzes formation of deoxyhypusine, the first step in hypusine biosynthesis; triggers posttranslational hypusination of translation elongation factor eIF-5A and regulates its intracellular levels; tetrameric; human homolog DHPS allows growth of yeast haploid dys1 null mutant after sporulation of heterozygous diploid"	
S000001111	YHR069C	RRP4	Ribosomal RNA Processing	ORF	"Subunit of both nuclear and cytoplasmic exosome (RNase complex); involved in exonucleolytic trimming of tricistronic pre-ribosomal RNA (SSU-rRNA, 5.8S rRNA, LSU-rRNA) to generate mature 3'-ends of 5.8S transcripts and nuclear polyadenylation-dependent RNA degradation; contributes to U4 small nuclear RNA (snRNA) and small nucleolar RNA 3'-end processing"	"Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; predicted to contain RNA binding domains; mutations in the human ortholog, EXOSC2, cause SHRF (Short stature, Hearing loss, Retinitis pigmentosa and distinctive Facies) syndrome, an RNA exosomopathy"	
S000001112	YHR070W	TRM5	tRNA Methyltransferase	ORF	tRNA methyltransferase that methylates guanine residues in both cytoplasmic and mitochondrial tRNAs; localized to both the cytoplasm and to mitochondria	"tRNA(m(1)G37)methyltransferase; methylates a tRNA base adjacent to the anticodon that has a role in prevention of frameshifting; localized to both cytoplasm and mitochondria, and modifies both cytoplasmic and mitochondrial tRNAs; mutations in human ortholog TRMT5 are associated with skeletal muscle respiratory chain deficiencies, and trm5 mutations analogous to disease mutations decrease respiration"	
S000001113	YHR071W	PCL5	Pho85 CycLin	ORF		"Cyclin; interacts with and phosphorylated by Pho85p cyclin-dependent kinase (Cdk), induced by Gcn4p at level of transcription, specifically required for Gcn4p degradation, may be sensor of cellular protein biosynthetic capacity"	
S000001114	YHR072W	ERG7	ERGosterol biosynthesis	ORF	Lanosterol synthase involved in ergosterol biosynthesis; localizes to lipid bodies	"Lanosterol synthase; an essential enzyme that catalyzes the cyclization of squalene 2,3-epoxide, a step in ergosterol biosynthesis; human LSS functionally complements the lethality of the erg7 null mutation"	
S000001115	YHR073W	OSH3	OxySterol binding protein Homolog	ORF	"Sterol transfer protein involved in endocytosis, exocytosis, karyogamy, invasive growth, and maintenance of cell polarity; localizes to the endoplasmic reticulum and plasma membrane"	"Member of an oxysterol-binding protein family; this family has seven members in S. cerevisiae; family members have overlapping, redundant functions in sterol metabolism and collectively perform a function essential for viability; contains FFAT motif; interacts with ER anchor Scs2p at patches at the plasma membrane; regulated by sterol binding"	
S000001116	YHR074W	QNS1	glutamine (Q) dependent Nad+ Synthetase	ORF		Glutamine-dependent NAD(+) synthetase; essential for the formation of NAD(+) from nicotinic acid adenine dinucleotide	
S000001117	YHR075C	PPE1	Phosphoprotein Phosphatase methylEsterase	ORF	Putative protein C-terminal demethylase that acts on protein phosphatase 2A; also identified as a component of the small subunit of the mitochondrial ribosome	Protein with carboxyl methyl esterase activity; may have a role in demethylation of the phosphoprotein phosphatase catalytic subunit; also identified as a small subunit mitochondrial ribosomal protein	
S000001118	YHR076W	PTC7	Phosphatase type Two C	ORF		Type 2C serine/threonine protein phosphatase (PP2C); alternatively spliced to create two mRNA isoforms; protein from spliced form localizes to the mitochondria while the one from the unspliced form is localized to the nuclear envelope; activates coenzyme Q6 biosynthesis by dephosphorylation of demethoxy-Q6 hydroxylase Coq7p	
S000001119	YHR077C	NMD2	Nonsense-mediated MRNA Decay	ORF	Protein involved in DNA recombination and 3'-5' exonucleolytic nonsense-mediated decay; localizes to cytoplasm and polysomes	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	
S000001120	YHR078W			ORF	Predicted integral membrane protein whose biological role is unknown	High osmolarity-regulated gene of unknown function	
S000001121	YHR079C	IRE1	Inositol REquiring	ORF	A serine/threonine kinase with endoribonuclease activity; involved in endoplasmic reticulum unfolded protein response; localized to both the endoplasic reticulum membrane and nucleus	Serine-threonine kinase and endoribonuclease; transmembrane protein that mediates the unfolded protein response (UPR) by regulating Hac1p synthesis through HAC1 mRNA splicing; role in homeostatic adaptation to ER stress; Kar2p binds inactive Ire1p and releases from it upon ER stress	
S000001122	YHR080C	LAM4	Lipid transfer protein Anchored at Membrane contact sites	ORF	Intermembrane sterol transfer protein that localizes to mitochondria and cortical endoplasmic reticulum	"Sterol-binding protein that localizes to puncta in the cortical ER; sterol binding occurs via two StART-like domains; one of six StART-like domain-containing proteins in yeast that may be involved in intracellular sterol transfer between membranes; conserved across eukaryotes; has both GRAM and StART-like (VASt) domains; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"	
S000001123	YHR081W	LRP1	Like RrP6	ORF	An enzyme regulation protein that binds double-stranded DNA; involved in nuclear polyadenylation-dependent rRNA and CUT catabolic processes; localized to the nucleus	"Nuclear exosome-associated nucleic acid binding protein; involved in RNA processing, surveillance, degradation, tethering, and export; forms a stable heterodimer with Rrp6p and regulates its exonucleolytic activity; rapidly degraded by the proteasome in the absence of Rrp6p; homolog of mammalian nuclear matrix protein C1D involved in regulation of DNA repair and recombination"	
S000001124	YHR082C	KSP1	Kinase Suppressing Prp20-10	ORF	"mRNA-binding protein kinase involved in TOR signaling and protein localization; regulates autophagy, filamentous growth, pseudohyphal growth, and translation in response to stress; localizes to nucleus and cytoplasmic stress granule"	"Serine/threonine protein kinase; associates with TORC1 and likely involved in TOR signaling cascades; negative regulator of autophagy; nuclear translocation required for haploid filamentous growth; regulates filamentous growth induced nuclear translocation of Bcy1p, Fus3p, and Sks1p; overproduction causes allele-specific suppression of prp20-10; protein abundance increases in response to DNA replication stress"	
S000001125	YHR083W	SAM35	Sorting and Assembly Machinery	ORF	Subunit of the mitochondrial sorting and assembly machinery (SAM) complex with a role in translocation of protein through the mitochondrial outer membrane	Component of the sorting and assembly machinery (SAM) complex; the SAM (or TOB) complex is located in the mitochondrial outer membrane; the complex binds precursors of beta-barrel proteins and facilitates their insertion into the outer membrane	
S000001126	YHR084W	STE12	STErile	ORF	A sequence-specific DNA binding transcription factor; activates transcription of genes involved in mating in response to pheromone and genes involved in filamentous growth in response to nutrient limitation; subunit of both the mating specific Ste12pDig1p-Dig2p complex and filamentous growth-induced Tec1p-Ste12p-Dig1p complex	Transcription factor that is activated by a MAPK signaling cascade; activates genes involved in mating or pseudohyphal/invasive growth pathways; cooperates with Tec1p transcription factor to regulate genes specific for invasive growth	
S000001127	YHR085W	IPI1	Involved in Processing ITS2	ORF		Component of the Rix1 complex and possibly pre-replicative complexes; required for processing of ITS2 sequences from 35S pre-rRNA; component of the pre-60S ribosomal particle with the dynein-related AAA-type ATPase Mdn1p; required for pre-replicative complex (pre-RC) formation and maintenance during DNA replication licensing; relocalizes to the cytosol in response to hypoxia; essential gene	
S000001128	YHR086W	NAM8	Nuclear Accommodation of Mitochondria	ORF		"RNA binding protein, component of the U1 snRNP protein; mutants are defective in meiotic recombination and in formation of viable spores, involved in the formation of DSBs through meiosis-specific splicing of REC107 pre-mRNA; Nam8p regulon embraces the meiotic pre-mRNAs of REC107, HFM1, AMA1 SPO22 and PCH2; the putative RNA binding domains RRM2 and RRM3 are required for Nam8p meiotic function"	
S000001129	YHR087W	RTC3	Restriction of Telomere Capping	ORF		"Protein of unknown function involved in RNA metabolism; has structural similarity to SBDS, the human protein mutated in Shwachman-Diamond Syndrome (the yeast SBDS ortholog is SDO1); null mutation suppresses cdc13-1 temperature sensitivity; protein abundance increases in response to DNA replication stress"	
S000001130	YHR088W	RPF1	Ribosome Production Factor	ORF	"Subunit of 66S preribosome involved in maturation of LSU-ribosomal RNA (rRNA) and 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA); contributes to LSU assembly and export from nucleus; localizes to nucleolus"	"Protein involved in assembly and export of the large ribosomal subunit; nucleolar protein; constituent of 66S pre-ribosomal particles; contains a sigma(70)-like motif, which is thought to bind RNA"	
S000001131	YHR089C	GAR1	Glycine Arginine Rich	ORF		Protein component of the H/ACA snoRNP pseudouridylase complex; involved in the modification and cleavage of the 18S pre-rRNA	
S000001132	YHR090C	YNG2	Yeast iNG1 homolog	ORF	Methylated histone-binding subunit of the NuA4 histone acetyltransferase complex involved in DNA repair and chromatin modification	"Subunit of NuA4, an essential histone acetyltransferase complex; positions Piccolo NuA4 for efficient acetylation of histone H4 or histone H2A; relocalizes to the cytosol in response to hypoxia; similar to human tumor suppressor ING1 and its isoforms ING4 and ING5"	
S000001133	YHR091C	MSR1	Mitochondrial tRNA Synthetase aRginine	ORF	Putative mitochondrial arginyl-tRNA synthetase that performs arginyl-tRNA aminoacylation by coupling arginine to arginyl-tRNA	"Mitochondrial arginyl-tRNA synthetase; mutations in human ortholog are associated with pontocerebellar hypoplasia type 6; MSR1 has a paralog, YDR341C, that arose from the whole genome duplication"	
S000001134	YHR092C	HXT4	HeXose Transporter	ORF		"High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication"	
S000001135	YHR093W	AHT1		ORF		"Putative protein of unknown function; conserved across S. cerevisiae strains; not conserved in closely related Saccharomyces species; multicopy suppressor of glucose transport defects, likely due to the presence of an HXT4 regulatory element in the region"	
S000001136	YHR094C	HXT1	HeXose Transporter	ORF	Hexose and pentose transmembrane transporter of the plasma membrane	"Low-affinity glucose transporter of the major facilitator superfamily; expression is induced by Hxk2p in the presence of glucose and repressed by Rgt1p when glucose is limiting; HXT1 has a paralog, HXT6, what arose from the whole genome duplication"	
S000001137	YHR095W			ORF		"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	
S000001138	YHR096C	HXT5	HeXose Transporter	ORF		"Hexose transporter with moderate affinity for glucose; induced in the presence of non-fermentable carbon sources, induced by a decrease in growth rate, contains an extended N-terminal domain relative to other HXTs; HXT5 has a paralog, HXT3, that arose from the whole genome duplication"	
S000001139	YHR097C	PAL2	Pears And Lemons	ORF	Protein whose biological role is unknown; localizes to the nuclear periphery in a classical study and to nucleus and cytoplasm in a large scale study	"Protein involved in clathrin-mediated endocytosis; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and the nucleus; YHR097C has a paralog, PAL1, that arose from the whole genome duplication"	
S000001140	YHR098C	SFB3	Sed Five Binding	ORF	Subunit of the COPII vesicle coat;  involved in COPII-coated vesicle cargo loading	Component of the Sec23p-Sfb3p heterodimer of the COPII vesicle coat; COPII coat is required for cargo selection during vesicle formation in ER to Golgi transport; scaffolding function of Lst1p required to generate vesicles that can accommodate difficult cargo proteins that include large oligomeric assemblies and asymmetrically distributed membrane proteins; with Atg40p acts in autophagy of the ER; homologous to Sec24p and Sfb2p	
S000001141	YHR099W	TRA1	similar to human TRRAP	ORF	"Component of SAGA, SLIK, NuA4 histone acetyltransferase complexes; involved in positive regulation of RNA polymerase II transcription; targets DNA-bound activators for recruitment to promoters"	"Subunit of SAGA and NuA4 histone acetyltransferase complexes; interacts with acidic activators (e.g., Gal4p) which leads to transcription activation; similar to human TRRAP, which is a cofactor for c-Myc mediated oncogenic transformation"	
S000001142	YHR100C	GEP4	GEnetic interactors of Prohibitins	ORF		"Mitochondrial phosphatidylglycerophosphatase (PGP phosphatase); dephosphorylates phosphatidylglycerolphosphate to generate phosphatidylglycerol, an essential step during cardiolipin biosynthesis; null mutant is sensitive to tunicamycin, DTT"	
S000001143	YHR101C	BIG1	Bad In Glucose	ORF	Protein involved in cell wall biogenesis; integral component of endoplasmic reticulum membrane	"Integral membrane protein of the endoplasmic reticulum; required for normal content of cell wall beta-1,6-glucan"	
S000001144	YHR102W	KIC1	Kinase that Interacts with Cdc31p	ORF	"Protein kinase involved in signal transduction and budding cell apical bud growth; localizes to cytoplasm, mating projection tip, incipient cellular bud site, and cellular bud"	"Protein kinase of the PAK/Ste20 family, required for cell integrity; physically interacts with Cdc31p (centrin), which is a component of the spindle pole body; phosphorylates Cbk1p kinase after allosteric activation by Hym1p; part of the RAM network that regulates cellular polarity and morphogenesis"	
S000001145	YHR103W	SBE22	similar to SBE2	ORF	Cytoplasmic protein involved in cell wall organization	"Protein involved in bud growth; involved in the transport of cell wall components from the Golgi to the cell surface; similar in structure and functionally redundant with Sbe2p; SBE22 has a paralog, SBE2, that arose from the whole genome duplication"	
S000001146	YHR104W	GRE3	Genes de Respuesta a Estres (stress responsive genes)	ORF	"Aldose reductase involved in the catabolism of galactose, arabinose, and D-xylose; involved in the cellular response to oxidative stress; localizes to the nucleus and cytoplasm in high-throughput studies"	"Aldose reductase; involved in methylglyoxal, d-xylose, arabinose, and galactose metabolism; stress induced (osmotic, ionic, oxidative, heat shock, starvation and heavy metals); regulated by HOG pathway; overexpression allows xylose fermentation in strains expressing heterologous xylitol dehydrogenase and xylulokinase; protein abundance increases in response to DNA replication stress"	
S000001147	YHR105W	YPT35		ORF	Endosomal phosphatidylinositol-3-phosphate binding protein	Endosomal protein of unknown function; contains a phox (PX) homology domain; binds to both phosphatidylinositol-3-phosphate (PtdIns(3)P) and proteins involved in ER-Golgi or vesicular transport	
S000001148	YHR106W	TRR2	ThioRedoxin Reductase	ORF	Mitochondrial thioredoxin-disulfide reductase involved in cell redox homeostasis and oxidative stress response	"Mitochondrial thioredoxin reductase; involved in protection against oxidative stress, required with Glr1p to maintain the redox state of Trx3p; contains active-site motif (CAVC) present in prokaryotic orthologs; binds NADPH and FAD; TRR2 has a paralog, TRR1, that arose from the whole genome duplication"	
S000001149	YHR107C	CDC12	Cell Division Cycle	ORF	"Subunit of the septin complex with GTPase activity; localizes to the bud neck septin ring, and establishes a scaffold to support the assembly of a multiprotein complex which facilitates cytokinesis; localizes to the prospore membrane and meiotic spindle and is required for sporulation; binds to both PI(4)P and PI(5)P"	Component of the septin ring that is required for cytokinesis; septins are GTP-binding proteins that assemble into rod-like hetero-oligomers that can associate with other rods to form filaments; septin rings at the mother-bud neck act as scaffolds for recruiting cell division factors and as barriers to prevent diffusion of specific proteins between mother and daughter cells	
S000001150	YHR108W	GGA2	"Golgi-localized, Gamma-adaptin ear homology, Arf-binding protein"	ORF	Trans-Golgi network protein that binds phosphatidylinositol-4-phosphate and ubiquitin; involved in protein targeting to vacuole during ubiquitin-dependent protein degradation via the MVB pathway; contributes to Golgi to endosome and Golgi to vacuole transport	"Protein that regulates Arf1p, Arf2p to facilitate Golgi trafficking; binds phosphatidylinositol 4-phosphate, which plays a role in TGN localization; has homology to gamma-adaptin; GGA2 has a paralog, GGA1, that arose from the whole genome duplication"	
S000001151	YHR109W	CTM1	CyTochrome c Methyltransferase	ORF	Methyltransferase that transfers three methyl groups successively from S-adenosyl-L-methionine to a lysin residue in cytochrome c (Cyc1p); localized to the cytoplasm	Cytochrome c lysine methyltransferase; trimethylates residue 72 of apo-cytochrome c (Cyc1p) in the cytosol; not required for normal respiratory growth	
S000001152	YHR110W	ERP5	Emp24p/Erv25p Related Protein	ORF		Protein with similarity to Emp24p and Erv25p; member of the p24 family involved in ER to Golgi transport	
S000001153	YHR111W	UBA4	UBiquitin-Activating	ORF	"Multifunctional, Urm1p-activating enzyme, sulfurtransferase and adenylyltransferase; catalyzes the formation of a high energy thioester bond with ubiquitin-like protein, Urm1p, the first step in protein urmylation; catalyzes the adenylation followed by thiolation of Urm1p leading to tRNA thiolation of uridine in the wobble position; involved in invasive growth and the response to oxidative stress; localizes to the cytoplasm"	E1-like protein that activates Urm1p before urmylation; also acts in thiolation of the wobble base of cytoplasmic tRNAs by adenylating and then thiolating Urm1p; receives sulfur from Tum1p	
S000001154	YHR112C			ORF		Protein of unknown function; localizes to the cytoplasm and nucleus; overexpression affects protein trafficking through the endocytic pathway	
S000001155	YHR113W	APE4		ORF	Aminopeptidase involved in proteolysis; localizes to cytoplasm and vacuole	Cytoplasmic aspartyl aminopeptidase with possible vacuole function; Cvt pathway cargo protein; cleaves unblocked N-terminal acidic amino acids from peptide substrates; forms a 12-subunit homo-oligomer; M18 metalloprotease family	
S000001156	YHR114W	BZZ1		ORF	Protein involved in actin nucleation and actin filament organization; has roles in endocytosis and response to salt stress; localizes to the PM and actin cortical patches	SH3 domain protein implicated in regulating actin polymerization; able to recruit actin polymerization machinery through its SH3 domains; colocalizes with cortical actin patches and Las17p; interacts with type I myosins	
S000001157	YHR115C	DMA1	Defective in Mitotic Arrest	ORF	"Ubiquitin protein ligase involved in septin ring assembly and organization, and the mitotic spindle orientation checkpoint"	"Ubiquitin-protein ligase (E3); controls septin dynamics, spindle position checkpoint (SPOC) with ligase Dma2p by regulating recruitment of Elm1p to bud neck; regulates levels of eIF2 subunit Gcd11p, as well as abundance, localization, and ubiquitination of Cdk inhibitory kinase Swe1p; ubiquitinates cyclin Pcl1p; ortholog of human RNF8, similar to human Chfr; contains FHA, RING fingers; DMA1 has a paralog, DMA2, that arose from the whole genome duplication"	
S000001158	YHR116W	COX23	Cytochrome OXidase	ORF	Mitochondrial protein with a role in assembly of the respiratory chain complex	Protein that functions in mitochondrial copper homeostasis; mitochondrial intermembrane space protein; essential for functional cytochrome oxidase expression; homologous to Cox17p; contains twin cysteine-x9-cysteine motifs	
S000001159	YHR117W	TOM71	Translocase of the Outer Mitochondrial membrane	ORF	Presumed protein transmembrane transporter involved in protein targeting to mitochondria; localizes to outer mitochondrial membrane	"Mitochondrial outer membrane protein; probable minor component of the TOM (translocase of outer membrane) complex responsible for recognition and import of mitochondrially directed proteins; TOM71 has a paralog, TOM70, that arose from the whole genome duplication"	
S000001160	YHR118C	ORC6	Origin Recognition Complex	ORF		Subunit of the origin recognition complex (ORC); ORC directs DNA replication by binding to replication origins and is also involved in transcriptional silencing; phosphorylated by Cdc28p; mutation in the human Orc6p is linked to Meier-Gorlin syndrome	
S000001161	YHR119W	SET1	SET domain-containing	ORF	"Subunit of the Set1C/COMPASS complex, contributes to methyltransferase activity that methylates histone H3 on lysine at position 4 (H3-K4 specific methylation); involved in chromatin silencing at telomeres and at mating type loci; localized in nucleus"	"Histone methyltransferase, subunit of the COMPASS (Set1C) complex; COMPASS methylates histone H3K4; Set1p-dependent H3K4 trimethylation recruits Nrd1p, allowing efficient termination of snoRNAs and cryptic unstable transcripts (CUTs) by Nrd1p-Nab3p-Sen1p pathway; modulates histone acetylation levels in promoter proximal regions to ensure efficient Nrd1p-dependent termination; required in transcriptional silencing near telomeres and at silent mating type loci; has a SET domain"	
S000001162	YHR120W	MSH1	MutS Homolog	ORF		DNA-binding protein of the mitochondria; involved in repair of mitochondrial DNA; has ATPase activity and binds to DNA mismatches; has homology to E. coli MutS; transcription is induced during meiosis	
S000001163	YHR121W	LSM12	Like SM	ORF	RNA-binding protein involved in RNA metabolism; localizes to nucleus and cytoplasmic stress granule	Protein of unknown function that may function in RNA processing; interacts with Pbp1p and Pbp4p and associates with ribosomes; contains an RNA-binding LSM domain and an AD domain; GFP-fusion protein is induced by the DNA-damaging agent MMS; relative distribution to the nucleus increases upon DNA replication stress	
S000001164	YHR122W	CIA2	Cytosolic Iron-sulfur protein Assembly	ORF	Component of the cytosolic iron-sulfur protein assembly (CIA) machinery; involved in iron-sulfur cluster assembly	"Component of cytosolic iron-sulfur protein assembly (CIA) machinery; acts at a late step of Fe-S cluster assembly; forms the CIA targeting complex with Cia1p and Met18p that directs Fe-S cluster incorporation and maturation of a subset of proteins involved in methionine biosynthesis, DNA replication and repair, transcription, and telomere maintenance; ortholog of human FAM96B"	
S000001165	YHR123W	EPT1	EthanolaminePhosphoTransferase	ORF		"sn-1,2-diacylglycerol ethanolamine- and cholinephosphotranferase; not essential for viability; EPT1 has a paralog, CPT1, that arose from the whole genome duplication"	
S000001166	YHR124W	NDT80	Non-DiTyrosine	ORF	Sequence-specific DNA binding transcription factor that activates transcription of middle sporulation genes by RNA polymerase II	Meiosis-specific transcription factor; required for exit from pachytene and for full meiotic recombination; activates middle sporulation genes; competes with Sum1p for binding to promoters containing middle sporulation elements (MSE) 	
S000001167	YHR125W			ORF		Putative protein of unknown function; conserved across S. cerevisiae strains	
S000001168	YHR126C	ANS1		ORF	Protein whose biological role is unknown; localizes to the vacuole	Putative GPI protein; SWAT-GFP and mCherry fusion proteins localize to the vacuole; transcription dependent upon Azf1p	
S000001169	YHR127W			ORF		Protein of unknown function; localizes to the nucleus; required for asymmetric localization of Kar9p during mitosis	
S000001170	YHR128W	FUR1	5-FluoroURidine resistant	ORF	Uracil phosphoribosyltransferase involved in salvaging pyrimidine-containing compounds	Uracil phosphoribosyltransferase; synthesizes UMP from uracil; involved in the pyrimidine salvage pathway	
S000001171	YHR129C	ARP1	Actin-Related Protein	ORF	"Protein subunit of dynactin complex; involved in nuclear migration, establishment of mitotic spindle orientation, and mitotic spindle orientation checkpoint"	Actin-related protein of the dynactin complex; required for spindle orientation and nuclear migration; forms actin-like short filament composed of 9 or 10 Arp1p monomers; putative ortholog of mammalian centractin	
S000001172	YHR130C			ORF		Putative protein of unknown function; conserved among S. cerevisiae strains; YHR130C is not an essential gene	
S000001173	YHR131C			ORF	Protein whose biological role is unknown; localizes to the cytoplasm in a large-scale study	"Putative protein of unknown function; GFP-fusion protein localizes to the cytoplasm; overexpression causes cell cycle delay or arrest; contains a PH domain and binds phosphatidylinositols and other lipids in a large-scale study; YHR131C has a paralog, YNL144C, that arose from the whole genome duplication"	
S000001174	YHR132C	ECM14	ExtraCellular Mutant	ORF	Conserved carboxypeptidase-like protein; localizes to vacuole	Conserved fungal protein with similarity to zinc carboxypeptidases; in some strains required for normal cell wall assembly	
S000001175	YHR133C	NSG1		ORF		"Protein involved in regulation of sterol biosynthesis; specifically stabilizes Hmg2p, one of two HMG-CoA isoenzymes that catalyze the rate-limiting step in sterol biosynthesis; forms foci at the nuclear periphery upon DNA replication stress; relocalizes to the cytosol in response to hypoxia; homolog of mammalian INSIG proteins; NSG1 has a paralog, NSG2, that arose from the whole genome duplication"	
S000001176	YHR134W	WSS1	Weak Suppressor of Smt3	ORF	"SUMO-ligase and SUMO-targeted metalloprotease activated by genotoxic stress; localizes as single spot per nucleus, with shift to vacuole upon DNA damage"	SUMO-ligase and SUMO-targeted metalloprotease; involved in DNA repair; removes DNA-protein crosslinks at stalled replication forks during replication of damaged DNA; clears chromatin-bound sumoylated proteins; localizes to single spot on nuclear periphery of mother cells but not daughters; exhibits vacuolar localization upon genotoxic stress; activated by DNA binding; member of minigluzincins protease family with mammalian DVC1/Spartan	
S000001177	YHR135C	YCK1	Yeast Casein Kinase I homolog	ORF	"Protein serine/threonine kinase involved in cell morphogenesis, endocytosis, and glucose-mediated signaling; localizes to the plasma membrane"	"Palmitoylated plasma membrane-bound casein kinase I (CK1) isoform; shares redundant functions with Yck2p in morphogenesis, proper septin assembly, endocytic trafficking, and glucose sensing; stabilized by Sod1p binding in the presence of glucose and oxygen, causing glucose repression of respiratory metabolism; involved in the phosphorylation and regulation of glucose sensor Rgt2p; YCK1 has a paralog, YCK2, that arose from the whole genome duplication"	
S000001178	YHR136C	SPL2	Suppressor of PLc1 deletion	ORF	Putative enzyme inhibitor involved in vacuolar protein targeting; localizes to cytoplasm	Protein with similarity to cyclin-dependent kinase inhibitors; downregulates low-affinity phosphate transport during phosphate limitation by targeting Pho87p to the vacuole; upstream region harbors putative hypoxia response element (HRE) cluster; overproduction suppresses a plc1 null mutation; promoter shows an increase in Snf2p occupancy after heat shock; GFP-fusion protein localizes to the cytoplasm	
S000001179	YHR137W	ARO9	AROmatic amino acid requiring	ORF	Aromatic-amino-acid:2-oxoglutarate and kynurenine aminotransferase involved in  L-phenylalanine and tyrosime biosynthesis; localizes to cytoplasm and nucleus	"Aromatic aminotransferase II; catalyzes the first step of tryptophan, phenylalanine, and tyrosine catabolism; involved with Aro8p in production of kynurenic acid to detoxify excess tryptophan"	
S000001180	YHR138C			ORF	Endopeptidase inhibitor involved in non-autophagic vacuole fusion	Protein of unknown function; similar to Pbi2p; double null mutant lacking Pbi2p and Yhr138cp exhibits highly fragmented vacuoles; protein abundance increases in response to DNA replication stress	
S000001181	YHR139C	SPS100	SPorulation Specific	ORF		"Protein required for spore wall maturation; expressed during sporulation; may be a component of the spore wall; expression also induced in cells treated with the mycotoxin patulin; SPS100 has a paralog, YGP1, that arose from the whole genome duplication"	
S000001182	YHR140W			ORF	Predicted integral membrane protein whose biological role is unknown; localizes to cytoplasm and endoplasmic reticulum in a large scale study	"Endoplasmic reticulum protein; may contribute to maintenance of ER and nuclear morphology; null mutant shows discontinuity in nuclear envelope, clustering of nuclear pores, and lacks cortical ER"	
S000001183	YHR141C	RPL42B	Ribosomal Protein of the Large subunit	ORF	Subunit of the cytosolic large ribosomal subunit; involved in translation	"Ribosomal 60S subunit protein L42B; required for propagation of the killer toxin-encoding M1 double-stranded RNA satellite of the L-A double-stranded RNA virus; homologous to mammalian ribosomal protein L36A, no bacterial homolog; RPL42B has a paralog, RPL42A, that arose from the whole genome duplication"	
S000001184	YHR142W	CHS7	CHitin Synthase-related	ORF	"Endoplasmic reticulum membrane protein involved in protein folding, ER to golgi vesicle-mediated transport and cell wall chitin biosynthetic process"	Protein of unknown function; may be involved in chitin biosynthesis by regulation of Chs3p export from the ER; relocalizes from bud neck to ER upon DNA replication stress	
S000001185	YHR143W-A	RPC10	RNA Polymerase C	ORF	"Subunit of DNA-directed RNA polymerase I, III and II core complexes; involved in transcription by RNA polymerase I, II, III and transfer RNA (tRNA) transcription by RNA polymerase III; contributes to RNA-directed 5'-3' RNA polymerase activity; localizes to nucleolus, nucleus, cytoplasm in high-throughput studies"	"RNA polymerase subunit ABC10-alpha, found in RNA pol I, II, and III; relocalizes from nucleolus to cytoplasm upon DNA replication stress"	
S000001186	YHR143W	DSE2	Daughter Specific Expression	ORF	Glucosidase involved in cell separation and pseudohyphal growth; localized to the cell wall and extracellular region	Daughter cell-specific secreted protein with similarity to glucanases; degrades cell wall from the daughter side causing daughter to separate from mother; localizes in birth scars; expression is repressed by cAMP	
S000001187	YHR144C	DCD1	dCMP Deaminase	ORF	"Deoxycytidine monophosphate (dCMP) deaminase, involved in biosynthesis of deoxyuridine monophosphate (dUMP) and deoxythymidine monophosphate (dTMP); localizes in the cytoplasm"	Deoxycytidine monophosphate (dCMP) deaminase; involved in dUMP and dTMP biosynthesis; expression is NOT cell cycle regulated	
S000001188	YHR145C			ORF		"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	
